[2025-12-17 22:01:02,402] [WARNING] || [init_pre_logging] pre_logging.py :: Pre-setup log activated: log_file=/home/janek/PycharmProjects/InclinedPlaneProject/init.log
[2025-12-17 22:01:02,402] [INFO] || [set] set_config.py :: Setting up config from file: path=/home/janek/PycharmProjects/InclinedPlaneProject/config.yaml
[2025-12-17 22:01:02,403] [DEBUG] || [set] set_config.py :: Loaded config file: config={'g': 9.81, 'input': {'max_friction': None, 'max_mass': None, 'max_tilt': 1.5707963268, 'max_velocity': None, 'min_friction': 0, 'min_mass': 0, 'min_tilt': 0, 'min_velocity': 0, 'port': 'CONSOLE'}, 'log': {'level': 'DEBUG', 'path': './log.log', 'port': 'FILE'}, 'math_precision': 10, 'measure_precision': 0.1, 'output': {'path': './output.csv', 'port': 'CSV'}, 'simulation': {'block_size': 40, 'fps': 60, 'resolution': [800, 800], 'scale': 10}}
[2025-12-17 22:01:02,403] [DEBUG] || [set_global_variables] config.py :: Setting global config variables: config={'g': 9.81, 'input': {'max_friction': None, 'max_mass': None, 'max_tilt': 1.5707963268, 'max_velocity': None, 'min_friction': 0, 'min_mass': 0, 'min_tilt': 0, 'min_velocity': 0, 'port': 'CONSOLE'}, 'log': {'level': 'DEBUG', 'path': './log.log', 'port': 'FILE'}, 'math_precision': 10, 'measure_precision': 0.1, 'output': {'path': './output.csv', 'port': 'CSV'}, 'simulation': {'block_size': 40, 'fps': 60, 'resolution': [800, 800], 'scale': 10}}
[2025-12-17 22:01:02,403] [DEBUG] || [log_variable_set] config.py :: Set LOG_PORT to FILE
[2025-12-17 22:01:02,403] [DEBUG] || [log_variable_set] config.py :: Set LOG_LEVEL to DEBUG
[2025-12-17 22:01:02,403] [DEBUG] || [log_variable_set] config.py :: Set LOG_PATH to ./log.log
[2025-12-17 22:01:02,403] [DEBUG] || [log_variable_set] config.py :: Set INPUT_PORT to CONSOLE
[2025-12-17 22:01:02,403] [DEBUG] || [log_variable_set] config.py :: Set MIN_TILT to 0
[2025-12-17 22:01:02,404] [DEBUG] || [log_variable_set] config.py :: Set MIN_MASS to 0
[2025-12-17 22:01:02,404] [DEBUG] || [log_variable_set] config.py :: Set MIN_VELOCITY to 0
[2025-12-17 22:01:02,404] [DEBUG] || [log_variable_set] config.py :: Set MIN_FRICTION to 0
[2025-12-17 22:01:02,404] [DEBUG] || [log_variable_set] config.py :: Set MAX_TILT to 1.5707963268
[2025-12-17 22:01:02,404] [DEBUG] || [log_variable_set] config.py :: Set MAX_MASS to None
[2025-12-17 22:01:02,404] [DEBUG] || [log_variable_set] config.py :: Set MAX_VELOCITY to None
[2025-12-17 22:01:02,404] [DEBUG] || [log_variable_set] config.py :: Set MAX_FRICTION to None
[2025-12-17 22:01:02,404] [DEBUG] || [log_variable_set] config.py :: Set SIM_RESOLUTION to (800, 800)
[2025-12-17 22:01:02,404] [DEBUG] || [log_variable_set] config.py :: Set SIM_SCALE to 10
[2025-12-17 22:01:02,404] [DEBUG] || [log_variable_set] config.py :: Set SIM_BLOCK_SIZE to 40
[2025-12-17 22:01:02,404] [DEBUG] || [log_variable_set] config.py :: Set SIM_FPS to 60
[2025-12-17 22:01:02,404] [DEBUG] || [log_variable_set] config.py :: Set MATH_PRECISION to 10
[2025-12-17 22:01:02,404] [DEBUG] || [log_variable_set] config.py :: Set MEASURE_PRECISION to 0.1
[2025-12-17 22:01:02,404] [DEBUG] || [log_variable_set] config.py :: Set G to 9.81
[2025-12-17 22:01:02,404] [DEBUG] || [set_global_variables] config.py :: Set global variables.
[2025-12-17 22:01:02,404] [INFO] || [set] set_config.py :: Set up config.
[2025-12-17 22:01:02,404] [INFO] || [configure_log_port] AppPorts.py :: Chosen log configuration: FILE
[2025-12-17 22:01:02,404] [INFO] || [configure_output_port] AppPorts.py :: Chosen output configuration: CSV
[2025-12-17 22:01:02,404] [WARNING] || [setup] FileLogAdapter.py :: Pre-setup log end. From now on logging to file: log_file=/home/janek/PycharmProjects/InclinedPlaneProject/log.log
